Name,Value,Change,Volume,High,Low
HPBN-HOSPITALITY PROP FUND B NPL,3,0%,0,0,0
HDC-HUDACO INDUSTRIES LTD,"12,374", 1.84%,14.81K,12.38K,11.53K
HUG-HUGE GROUP LTD,378, 1.34%,25.36K,378,355
HLM-HULAMIN LTD,240, -1.64%,628.99K,243,238
HUL-HULISANI LIMITED,450,0%,5.52K,450,450
HWA-HWANGE COLLIERY LTD,51,0%,0,0,0
HYP-HYPROP INV LTD,"2,674", 0.83%,1.24M,2.68K,2.64K
ILE-IMBALIE BEAUTY LIMITED,1,0%,0,0,0
IMP-IMPALA PLATINUM HLGS LTD,"19,875", 0.34%,3.19M,20.39K,19.71K
IPL-IMPERIAL LOGISTICS LTD,"6,368", 1.4%,204.19K,6.38K,6.21K
ILU-INDLUPLACE PROPERTIES LTD,310, -8.82%,4.97K,340,310
ISB-INSIMBI IND HLDGS LTD,90,0%,71.30K,94,90
INL-INVESTEC LTD,"5,772", -0.48%,615.48K,5.78K,5.67K
INP-INVESTEC PLC,"5,699", -0.7%,861.42K,5.72K,5.64K
IPF-INVESTEC PROPERTY FUND LTD,"1,070", -2.64%,779.54K,1.09K,1.07K
IVT-INVICTA HOLDINGS LTD,"3,145", 3.11%,46.85K,3.20K,3.08K
IAP-IRONGATE GROUP,"1,605", -2.73%,268.83K,1.63K,1.59K
ISA-ISA HOLDINGS LIMITED,69,0%,0,0,0
ITE-ITALTILE LTD,"1,674", 0.54%,422.24K,1.67K,1.63K
JSC-JASCO ELECTRON HLDGS LTD,38,0%,106.08K,38,35
JSE-JSE LTD,"10,256", 1.03%,47.26K,10.26K,10.10K
JBL-JUBILEE METALS GROUP PLC,348, 0.58%,713.38K,351,341
KAL-KAAP AGRI LIMITED,"4,450", -4.07%,1.44K,4.61K,4.25K
KAP-KAP INDUSTRIAL HLDGS LTD,447, -1.54%,701.67K,449,441
KRO-KAROOOOO LTD,"45,000",0%,1.89K,46.10K,45K
KBO-KIBO ENERGY PLC,7,0%,50K,7,7
KP2-KORE POTASH PLC,21,0%,251.62K,23,21
KIO-KUMBA IRON ORE LTD,"63,027", -0.06%,228.89K,63.52K,62.55K
LAB-LABAT AFRICA LTD,25,0%,152.01K,25,24
LEW-LEWIS GROUP LTD,"4,250", -1.78%,361.42K,4.35K,4.25K
LBH-LIBERTY HOLDINGS LTD,"9,128", -0.8%,263.69K,9.21K,9.03K
L2D-LIBERTY TWO DEGREES LTD,455, -1.09%,37.77K,459,450
LBR-LIBSTAR HOLDINGS LTD,640, 0.31%,57.61K,640,615
LHC-LIFE HEALTHC GRP HLDGS LTD,"2,420", -2.93%,2.60M,2.48K,2.41K
LTE-LIGHTHOUSE CAPITAL LTD,855,0%,292.16K,862,845
LTEN-LIGHTHOUSE CAPITAL LTD NPL,88,0%,0,0,0
LNF-LONDON FIN INV GROUP PLC,700,0%,0,0,0
L4L-LONG 4 LIFE LIMITED,435, 0.23%,277.39K,436,417
LUX-LUXE HOLDINGS LIMITED,107, 5.94%,2.39K,107,107
MHB-MAHUBE INFRASTRUCTURE LTD,640,0%,1.24K,640,640
MMP-MARSHALL MONTEAGLE PLC,"2,400",0%,0,0,0
MSP-MAS REAL ESTATE INC.,"1,889", -1.36%,223.74K,1.90K,1.86K
MSM-MASSMART HOLDINGS LTD,"5,529", -0.38%,186.92K,5.65K,5.40K
MDI-MASTER DRILLING GRP LTD,"1,190", 5.31%,53.44K,1.20K,1.09K
MCZ-MC MINING LIMITED,119, -1.65%,48.57K,121,112
MEI-MEDICLINIC INT PLC,"6,080", -1.31%,644.61K,6.21K,6.03K
MRF-MERAFE RESOURCES LTD,90,0%,1.02M,91,88
MTA-METAIR INVESTMENTS LTD,"2,900",0%,194.85K,2.95K,2.90K
MFL-METROFILE HOLDINGS LTD,323,0%,8.90K,334,323
MED-MIDDLE EAST DIAMOND RES LD,11,0%,0,0,0
MRI-MINE RESTORATION INV LTD,3,0%,0,0,0
MIX-MIX TELEMATICS LTD,781, -3.22%,42.34K,804,742
MTM-MOMENTUM MET HLDGS LTD,"1,900", -1.81%,589.26K,1.95K,1.88K
MNP-MONDI PLC,"40,742", 0.92%,488.09K,40.82K,40.25K
MKR-MONTAUK RENEWABLES INC,"12,200", -1.74%,3.10K,13K,11.80K
MTH-MOTUS HOLDINGS LTD,"10,027", 0.28%,1.08M,10.10K,9.99K
MPT-MPACT LIMITED,"2,900", -0.65%,30.51K,2.94K,2.87K
MRP-MR PRICE GROUP LTD,"21,233", 1.15%,1.40M,21.53K,20.91K
MTN-MTN GROUP LTD,"12,800", -1.37%,5.34M,13.16K,12.73K
MTNZF-MTN ZAKHELE FUTHI,"1,950", 0.21%,71.03K,2K,1.95K
MCG-MULTICHOICE GROUP LTD,"11,200", -0.74%,3.54M,11.38K,11.07K
MUR-MURRAY & ROBERTS HLDGS,"1,019", 0.99%,4.25M,1.02K,1K
MST-MUSTEK LTD,"1,335", 0.45%,13.94K,1.35K,1.31K
NPK-NAMPAK LTD,297, 1.02%,572.73K,297,285
NPN-NASPERS LTD -N-,"268,467", 1.78%,773.14K,268.47K,265K
